TT,Nhóm mẫu,Số hiệu,Họ,Loài,Tác giả,Tên việt,Nơi thu,Ngày thu,Long,Lat,CT,IUCN,SĐVN,KT,TP,LC/MN,Thông tin
11,Cá biển,TB.011,Rhinidae,Rhina ancylostoma,"(Bloch & Schneider, 1801)",Cá Giống mõm tròn,,01.01.2005,,,,,1,,,,"Màu sắc, đặc điểm: Cá Giống mõm tròn còn gọi là cá đuối bùn. Mõm ngắn, hình cung rộng, vây ngực lớn giống cá đuối, phần sau thuôn dài, vây lưng và vây đuôi giống cá mập. Lưng có màu nâu xám với nhiều đốm trắng, có nhiều chỏm gai trên đầu và lưng có thể gây sát thương cho các loài cá khác, năm khe mang ở mặt bụng. Chúng thường được bắt gặp ở Vịnh Bắc Bộ, Hồng Hải, Đông châu Phi, Ấn Độ Dương, Trung Quốc, Nhật Bản, Philippin, Indonexia, Australia.
Sinh học, sinh thái: Cá có kích thước lớn, có thể dài gần 3m, nặng 135 kg và thường di chuyển chậm chạp. Thức ăn là cá xương, động vật giáp xác, thân mềm. Hàm răng chắc khỏe cực kỳ hiệu quả trong việc nghiền nát những con mồi yêu thích có vỏ cứng như tôm hùm, cua... Chúng thụ tinh trong, con cái đẻ 2 - 11 con và có thể sống hơn 7 năm.
Ghi chú: Hiện nay, số lượng cá Giống mõm tròn đang suy giảm do ô nhiễm môi trường, biến đổi khí hậu và đánh bắt bằng chất nổ, nạo vét.... Một số Thủy cung trên thế giới đã nhân giống thành công loài cá này như Thủy cung Newport, Kentucky ở Mỹ năm 2005, Thủy cung S.E.A, Singapore năm 2015. Loài Cá Giống mõm tròn đã được đưa vào Sách Đỏ Việt Nam. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
12,Thú biển,TB.012,Balaenopteridae,Megaptera novaeangliae,"(Borowski, 1781)",Bộ xương cá voi lưng gù,Hải Cường - Hà Nam,08.12.1994,,,1,1,1,,,,"Màu sắc, đặc điểm: Kích thước mẫu vật: Dài 18 m, Trọng lượng 10 Tấn.
Sinh học, sinh thái: Cá voi lưng gù là loài cá voi lớn, nó có chiều dài từ 12-16 mét, nặng khoảng 30-36 tấn. Hình dạng cơ thể chúng đặc biệt, vây ngực dài khác thường và đầu có u. Cá voi lưng gù thường có sở thích nhào lộn và trồi lên mặt nước. Con đực thường phát ra tiếng kêu như một bản nhạc, kéo dài từ 10 đến 20 phút và được lặp đi lặp lại trong nhiều giờ tại một thời điểm. Cá Voi lưng gù chủ yếu sinh sống ở các đại dương lớn, đến mùa di cư chúng thường di chuyển đến các vùng nhiệt đới và cận nhiệt đới để giao phối và sinh sản. Thức ăn của chúng hầu hết là những động vật thân mềm và cá. Cá voi cái sẽ sinh con và nuôi con bằng sữa trong khoảng từ 6 tháng đến 1 năm. Sữa cá voi mẹ giàu chất đạm nên đậm đặc và không tan trong nước.
Ghi chú: Ngày 8-12-1994, người dân xã Hải Cường (huyện Hải Hậu, tỉnh Hà Nam, nay là tỉnh Nam Định) trong lúc đào mương làm thủy lợi đã phát hiện bộ xương khổng lồ bị vùi dưới lòng đất, độ sâu khoảng 1,2m và cách biển 4km (đường chim bay). Cá voi mang giá trị tâm linh đối với người dân nên đoàn các nhà khoa học của Viện Hải dương học và Lãnh đạo Tỉnh Hà Nam mất 3 ngày để thuyết phục những người có uy tín trong làng đưa bộ xương về Viện Hải dương học phục vụ công tác nghiên cứu và trưng bày. Mất khoảng 1 tuần để vận chuyển bộ xương về đến Viện Hải dương học và mất thêm 6 tháng để phục dựng bộ xương Cá voi lưng gù thành đúng 1 bộ xương hoàn chỉnh. Đây là một sự kiện lớn, ghi nhận lần đầu tiên nước ta có bộ xương cá voi được trưng bày theo kiểu nguyên hình dạng. Ngày nay Bộ xương “khổng lồ’’ này trở thành mẫu vật nổi tiếng và ấn tượng đối với du khách khi nhắc đến Bảo tàng Hải dương học. Nơi trưng bày: Khu trưng bày mẫu vật lớn"
13,Thú biển,TB.013,Dugongidae,Dugong dugon,"(Lacépède, 1799)",Bộ xương bò biển,Bãi Lò Vôi,22.01.1997,,,1,1,1,,,,"Màu sắc, đặc điểm: Vào tháng 11/1997, cơn bão Linda quét qua Côn Đảo đã gây thiệt hại rất lớn về người và tài sản. Vì sợ thất lạc bộ xương nên các nhà khoa học của Viện Hải dương học đã vội vàng đến Côn Đảo để lấy mẫu vật. Khi máy bay đáp xuống sân bay Cỏ Ống, cơn bão mới tan được một ngày, cả Côn Đảo đang tan hoang, lúc đó mẫu vật vẫn nằm dưới lòng đất. Vài ngày sau, Vườn Quốc gia Côn Đảo mới ổn định và tổ chức cho đoàn khai quật bộ xương Bò biển, bộ xương còn khá nguyên vẹn với chiều dài 273 cm.
Ghi chú: Bò biển này chết ngày 22/01/1997 tại bãi Lò Vôi, Vườn Quốc gia Côn Đảo. Ban quản lý Vườn Quốc gia Côn Đảo đã có ý định tặng bộ xương Bò biển cho Viện Hải dương học nhằm phục vụ công tác nghiên cứu và trưng bày. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
14,Thú biển,TB.014,Delphinidae,Lagenodelphis hosei,"(Fraser, 1956)",Cá Heo Fraser,Vịnh Cam Ranh - Khánh Hòa,03.07.2001,,,1,,,,1,,"Sinh học, sinh thái: Loài cá heo này bơi nhanh, một đàn khoảng từ 100 đến 1000 con. Chúng thường hay lướt trên mặt nước, tạo ra cảnh ""rất ấn tượng"" khi chúng chạy trốn các tàu đánh cá. Thức ăn của loài này là các loài cá biển, mực và tôm ở những vùng nước nông từ 200 đến 500 mét.
Ghi chú: Ngày 03/07/2001, con cá heo này đã bị mắc lưới của ngư dân ở vùng biển Khánh Hòa (từ Vịnh Cam Ranh ra khơi khoảng 10km). Viện Hải dương học đã đem về làm mẫu để phục vụ nghiên cứu và trưng bày. Mẫu cá heo này thuộc loài Cá heo Fraser hay Cá heo Sarawak (Lagenodelphis hosei), là một loài động vật có vú trong họ Cá heo mỏ (Delphinidae), bộ Cetacea. Loài này được tìm thấy ở vùng biển sâu ở Thái Bình Dương và các khu vực nông hơn ở Ấn Độ và Đại Tây Dương. Cá heo Fraser dài khoảng 1 mét và nặng khoảng 20 kg khi mới ra đời, , dài 2,75 m và 200 kg ở tuổi trưởng thành. Đặc điểm nổi bật của chúng khác với các loài cá heo khác chính là chúng có cái mỏ rất ngắn, gần như là không có, vì vậy có thể phân biệt được chúng. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
15,Thú biển,TB.015,Delphinidae,Pseudorca crassidens,"(Owen, 1846)",Cá ông chuông,Quãng Ngãi Quãng Bình,,,,1,,,,1,,"Sinh học, sinh thái: Cá ông chuông là một loài cá voi thuộc họ Delphinidae, thành viên lớn thứ ba của Họ Cá heo đại dương. Chúng sống ở vùng biển ôn đới và nhiệt đới trên toàn thế giới. Như tên gọi của chúng trong tiếng Anh là False Killer Whale (Cá voi sát thủ giả), ngụ ý là loài này có bề ngoài giống với killer whale (cá voi sát thủ hay còn gọi là cá hổ kình). Giống như cá voi sát thủ, cá ông chuông tấn công và giết chết các loài cá voi khác. Tuy nhiên, hai loài cá này không có quan hệ mật thiết với nhau. Cá Ông chuông có dạng cơ thể thon dài, phần trán phía trước tròn làm cho phần đầu trông giống quả chuông. Loài này có kích thước lớn, con trưởng thành có thể đạt tới 5 - 6 mét, toàn thân có màu xám đến đen. Cá Ông chuông thường sống ở vùng biển khơi, con mới sinh dài từ 1,50 - 2,0 m. Thức ăn chủ yếu là cá nổi và mực, đôi khi chúng tấn công cả các loài thú biển khác để ăn thịt. Loài này thường đi thành đàn từ 10-60 con, có khi nhiều hơn. Mặc dù có kích thước lớn nhưng chúng bơi nhanh, linh hoạt và khôn khéo giống như các loài Cá heo có kích thước nhỏ.
Phân bố: Loài cá Ông chuông này được phát hiện tại vùng biển Vịnh Hạ Long, Khánh Hoà, Côn Đảo. Đây là loài thú biển qúy hiếm và có giá trị nghiên cứu khoa học, giúp cân bằng sinh thái tự nhiên trong môi trường biển. Loài này không gặp thường xuyên ở vùng biển nào, nên khó xác định diện tích phân bố. Thỉnh thoảng chúng bị mắc cạn dạt vào bờ hoặc các hải đảo.
Ghi chú: Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
16,Thú biển,TB.016,Pinnipedia,Phoca largha,"(Pallas, 1811)",Hải cẩu,,21.05.1998,,,,,,,,,"Màu sắc, đặc điểm: Hải cẩu Đốm là loài động vật có đời sống lưỡng cư tự nhiên, có các ngón chân được cấu tạo như mái chèo. Bộ lông ngoài của chúng có màu sáng, phối hợp giữa các màu xám, xám vàng, xám bạc, đồng thời có nhiều đốm ô-van màu tối đồng bộ và nổi bật. Các đốm có kích thước khoảng 1-2 cm và sắp xếp theo những đường song song chạy dọc cơ thể. Trên thân của hải cẩu còn có những vòng sáng xung quanh một số đốm hoặc các vệt sáng không đều. Bụng của chúng có màu trắng bạc và ít đốm hơn lưng. Con non có lông màu trắng hoặc màu khói xám.
Ghi chú: Ngày 21/05/1998 và 17/06/1998, hai con hải cẩu Đốm đã bị bắt ở vùng biển Quảng Ngãi (bên trái) và Quảng Bình (bên phải) tương ứng. Mặc dù Biển Việt Nam nằm hoàn toàn trong vùng nhiệt đới và không có báo cáo về sự hiện diện của loài hải cẩu này, nhưng từ năm 1998 đến nay đã bắt được một số con ở vùng duyên hải miền Trung. Những con hải cẩu này đi theo dòng hải lưu thường kỳ Bắc-Nam từ vùng biển phía Bắc xuống Việt Nam và bị lạc đàn. Hiện có ghi nhận 07 cá thể đã xuất hiện tại Việt Nam. Nơi trưng bày: Khu trưng bày mẫu vật lớn"
17,Cá biển,TB.017,Mobulidae,Manta birostris,"(Walbaum, 1792)",Cá Nạng Hải,Ngoài khơi biển Khánh Hòa,01.01.1990,,,1,1,1,,,,"Màu sắc, đặc điểm: Kích thước mẫu vật: Trọng lượng 1 Tấn.
Sinh học, sinh thái: Cá Nạng hải có lưng đen hoặc nâu, đầu to, miệng rộng nằm phía trước đầu, vây ngực rộng. Ở biển, khi nhìn từ dưới lên, cá giống tấm thảm lớn che trên đầu, khi bơi, chúng đập hai chiếc vây ngực như những chú chim lớn. Cá Nạng hải tuy to lớn nhưng rất hiền lành, không mang gai độc ở đuôi như các loài cá đuối khác. Chúng chủ yếu ăn các loài giáp xác sống trôi nổi. Cá thường sống đơn lẻ, chỉ kết đôi vào mùa sinh sản. Cá con mới sinh đã khá lớn, chiều rộng thân có thể 1,2m. Ở Việt Nam, cá Nạng hải thường sống ở vùng biển miền Trung và vùng biển Tây Nam.
Ghi chú: Cá Nạng hải này bị mắc lưới của ngư dân ở ngoài khơi vùng biển Khánh Hòa vào năm 1990. Nhận thấy đây là mẫu vật có kích thước lớn, hiếm gặp và còn khá nguyên vẹn, Viện Hải dương học đã liên hệ với ngư dân thu mẫu nhằm phục vụ công tác nghiên cứu và trưng bày. Tuy nhiên, vì cá có kích thước lớn khoảng 1 tấn, chiều rộng khoảng 5m, chiều dài 4m nên việc vận chu yển khá khó khăn. Viện đã thuê tàu kéo vào bãi biển của Viện, chờ thủy triều xuống mới tiến hành xử lý mẫu. Thật ngạc nhiên cá có bộ gan khá lớn, nặng hơn 51kg và có vài con cá ép vẫn còn sống trong mang. Sau đó mẫu được xử lý bằng hóa chất trong 1 năm, việc chế tác mẫu thực hiện trong 2 tháng. Vào năm 1992, mẫu cá được đưa vào phòng lưu trữ mẫu vật. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
18,Thân mềm,TB.018,Cardiidae,Tridacna gigas,"(Linnaeus, 1758)",Trai tai tượng khổng lồ,Đảo Sinh Tồn - Khánh Hòa,01.01.1981,,,1,1,1,1,,,"Màu sắc, đặc điểm: Kích thước mẫu vật: Trọng lượng 146 Kg. Trai tai tượng đạt kích thước to lớn nhờ cách tiêu thụ đường và protein sản xuất ra từ hàng tỉ cá thể tảo sống trong mô của chúng.Chúng có vỏ cứng, dày và có từ 4-7 nếp gấp dọc trên vỏ. Vỏ của trai tai tượng khổng lồ cũng là nơi trú ẩn của nhiều loài cá nhỏ sống trong rạn san hô. Chúng là loài lưỡng tính có cả cơ quan sinh dục đực và cái tuy nhiên chúng không thể tự thụ tinh mà phải nhờ một cá thể trai khác.
Ghi chú: Mẫu vật thu được từ năm 1981 trong chuyến khảo sát hợp tác Việt - Nga trên tàu Kallisto. Mẫu Trai tai tượng khổng lồ được thu tại đảo Sinh Tồn, quần đảo Trường Sa với trọng lượng 146kg và cần đến gần 10 nhà khoa học với trang bị đồ lặn đầy đủ mới có thể thu được. Kết thúc chuyến khảo sát, Viện Hải dương học giữ 1 mảnh và Viện Tài nguyên và Môi trường biển giữ 1 mảnh. Trai tai tượng (Tridacna gigas) là loài lớn nhất trong ngành thân mềm. Có thể cao 1,3m và nặng hơn 200kg. Mẫu Trai tai tượng trưng bày tại Bảo tàng Hải dương học khi bắt được nặng tới 146kg, riêng khối thịt nặng tới 25kg. Loài Trai này chỉ có một cơ hội duy nhất để có một ngôi nhà đẹp. một khi chúng đã gắn chặt mình vào một chỗ tại rạn đá, chúng sẽ ở tại đó trong suốt cuộc đời của mình. Hiện nay, loài Trai này trên thế giới đã bị khai thác đến mức báo động, và tại một số địa điểm trên thế giới loài này đã hoàn toàn biến mất như ở đảo Fuji (Nhật Bản), Vanuatu, New Caledonia, Đài Loan. Vì thế chúng được đưa vào danh mục các loài Sắp nguy cấp trong Sách đỏ thế giới. Và danh mục Nguy cấp trong sách đỏ Việt nam 1992. Nơi trưng bày: Khu trưng bày tài nguyên biển đảo Hoàng Sa – Trường Sa"
19,Cá biển,TB.019,Scombridae,Scomberomorus sinensis,"(Lacépède, 1800)",Cá Thu song,Vùng biển Việt Nam,11.02.2011,,,,,,,1,,"Ghi chú: Mẫu cá Thu Song được ngư dân Nha Trang đánh bắt ở vùng biển Trường Sa vào ngày 11/02/2011 có chiều dài 2,4m và nặng 70kg (mẫu cá lớn nhất thế giới hiện có chiều dài 2,47m). Theo lời kể của người đánh bắt thì đây là loài cá Thu lớn nhất ông từng thấy trong 50 năm qua nên khi bắt gặp được mẫu cá Thu này, ông đã có ý muốn tặng cho Viện Hải dương học nhằm mục đích nghiên cứu và lưu trữ. Loài cá Thu này có đầu dài, nhọn, dẹp bên. Toàn thân chỉ có một ít vảy nhỏ nằm dọc hai bên phần gai của vi lưng. Vi lưng chia làm 3 phần, vi hậu môn không có gai,vi bụng rất nhỏ, vi đuôi chia làm hai thùy, rãnh chẻ rất sâu, các tia ở giữa ngắn như dầy và rộng. Toàn thân có màu trắng xanh, mặt lưng xậm hơn mặt bụng. các tia vi màu trắng trong, nửa trên của thân có 10 - 12 sọc sậm nằm vắt ngang. Môi trường sống: nước ngọt, nước lợ, nước mặn. Nơi trưng bày: Khu trưng bày tài nguyên biển đảo Hoàng Sa – Trường Sa"
20,Cá biển,TB.020,Scombridae,Thunnus alalunga,"(Bonnaterre, 1788)",Cá Ngừ vây ngực dài,Vùng biển Việt Nam,,,,,,,1,1,,"Sinh học, sinh thái: Loài cá Ngừ này có lưng có màu xanh ánh kim giúp chúng hòa trộn với màu đại dương khi nhìn từ trên xuống. Bụng cá có màu trắng bạc để ngụy trang từ dưới lên. Đuôi cá giống như mảnh trăng lưỡi liềm. Đến tuổi thành thục sinh dục, cá có thể nặng tới 60 kg. Thức ăn gồm động vật giáp xác, mực, và những loài cá khác. Không giống như một số loài cá ngừ khác thường bơi chung với cá heo, Cá ngừ Albacore không bơi chung với cá heo thường xuyên nên chúng sẽ không tranh giành nguồn thức ăn với cá heo.
Ghi chú: Cá Ngừ Albacore là loài cá biển lớn trong họ cá Thu ngừ. Chúng thích những vùng nước ấm và ôn hòa. Loài cá này có giá trị kinh tế cao đối với một số quốc gia và thường được bán tươi hoặc đóng hộp. Cá Ngừ Albacore được phân bố ở khắp các đại dương trên thế giới cũng như ở Địa trung hải. Thịt của chúng có khuynh hướng tích tụ sinh học, có mức thủy ngân cao hơn các loài cá Ngừ khác. Cá trưởng thành được bắt bằng vàng câu có thể chứa mức thủy ngân cao nguy hiểm. Nơi trưng bày: Khu trưng bày tài nguyên biển đảo Hoàng Sa – Trường Sa"
21,Cá biển,TB.021,Rhicodontidae,,"(Smith, 1828)",Cá nhám voi,Quần đảo Hoàng Sa - Trường Sa,29.01.2005,,,,1,,,1,,"Sinh học, sinh thái: Miệng cá nhám voi nằm ngay trước đầu chứ không phải ở phần dưới của đầu, rộng đến 1,5m chứa đến 300 hàm răng giả nhỏ li ti và 20 tấm sừng màng lọc. Cá có năm cặp mang lớn hoạt động như những chiếc rây mịn có khả năng giữ lại các sinh vật có kích thước 1mm. Ước tính cá nhám voi lọc nước trung bình 1,7l/s và tiêu thụ khoảng 21kg sinh vật phù du mỗi ngày. Thức ăn không chỉ là các loài động vật phù du mà còn có các loài giáp xác nhỏ, mực nhỏ, cá nhỏ. Cá nhám voi thụ tinh trong và noãn thai sinh (trứng nở ngay trong bụng mẹ và sinh ra con non). Tháng 7 năm 1996 một con cá nhám voi cái được phát hiện đang mang thai với 300 con non với chiều dài từ 40 - 60 cm. Cá nhám voi có độ tuổi trưởng thành khoảng 30 năm và tuổi thọ từ 80 đến 180 năm. Cá nhám voi được liên minh bảo tồn thiên nhiên quốc tế phân vào diện nguy cấp do tác động của nghề cá, thiệt hại do đánh bắt không chủ ý và va chạm với tàu thuyền.
Phân bố: Cá nhám voi là loài cá duy nhất còn tồn tại trong họ Rhicodontidae, bộ Orectolobiformes - cá mập thảm. Cơ thể thuôn dài có màu xám hơi xanh hoặc nâu. Mặt lưng có các đốm trắng kem xen giữa các sọc nhạt, nhìn như “bàn cờ” độc đáo. Ở mỗi cá thể cá nhám voi hoạ tiết bàn cờ là khác nhau, tựa như dấu vân tay của con người. Cá nhám voi thường sống trong các vùng nước thoáng, vùng biển nhiệt đới và ôn đới ấm. Chúng thường sống đơn độc, nhưng có di cư theo mùa đến kiếm ăn ở vùng biển quen thuộc, tụ tập thành những đàn lớn đến vài trăm con.
Ghi chú: Mẫu cá nhám voi được thu ngày 29/01/2055 tại vùng biển Phú Quý, độ sâu khoảng 200 – 300 mét. Mẫu có chiều dài hơn 5 mét, nặng khoảng 1 tấn do tàu HĐ 174 thuộc Công ty Quốc doanh đánh cá Kiên Giang chuyển giao. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
22,Thân mềm,TB.022,Angariidae,Angaria delphinus,"(Linnaeus, 1758)",Ốc mặt trăng đen,Vùng biển Khánh Hòa,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 4-5 cm. Mẫu lớn nhất có kích cỡ đạt ti 7 cm
Sinh học, sinh thái: Sống trên đá, vùng cận triều
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, đảo Phú Quốc, Côn Đảo, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
23,Thân mềm,TB.023,Bursidae,Tutufa rubeta,"(Roeding, 1798)",Ốc tù và gai miệng đỏ,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 8-12 cm. Mẫu lớn nhất có kích cỡ đạt tới 15 cm
Sinh học, sinh thái: Sống ở vùng dưới triều
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương (Abbott & Dance, 1986) - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, vv….
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
24,Thân mềm,TB.024,Bursidae,Tutufa bubo,"(Linnaeus, 1758)",Ốc tù và gai lớn,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 20-25 cm. Mẫu lớn nhất có kích cỡ đạt tới 34 cm
Sinh học, sinh thái: Sống ở vùng triều đến vùng dưới triều
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
25,Thân mềm,TB.025,Cassidae,Phalium glaucum,"(Linnaeus, 1758)",Ốc mũ vua xám,Vùng biển Bình Định,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 7-10 cm. Mẫu lớn nhất có kích cỡ đạt tới 14 cm
Sinh học, sinh thái: Sống nơi đáy cát, độ sâu từ 10-50 m nước
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Bình Định, Khánh Hòa, Ninh Thuận, Bình Thuận, Long Hải, vv….
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
26,Thân mềm,TB.026,Cassidae,Cypraecassis rufa,"(Linnaeus, 1758)",Ốc kim khôi đỏ,Vùng biển Phú Quí,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 14-17cm. Mẫu lớn nhất có kích cỡ đạt tới 20 cm
Sinh học, sinh thái: Sống ở vùng rạn san hô chết, độ sâu từ 1-20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Phú Quí, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
27,Thân mềm,TB.027,Conidae,Conus leopardus,"(Röding, 1798)",Ốc cối hạt mè trắng,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 7-13cm. Mẫu lớn nhất có kích cỡ đạt tới 17 cm
Sinh học, sinh thái: Sống ở đáy cát quanh các rạn đá và san hô, vùng triều đến độ sâu 40 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
28,Thân mềm,TB.028,Conidae,"Conus litteratus Linnaeus, 1758","(Linnaeus, 1758)",Ốc cối đầu tím,Quần đảo Hoàng Sa - Trường Sa,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 7-12 cm. Mẫu lớn nhất có kích cỡ đạt tới 18 cm
Sinh học, sinh thái: Sống ở đáy cát hoặc bùn quanh các rạn đá, rạn san hô, độ sâu từ 1-50 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Dọc ven biển Việt Nam
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
29,Thân mềm,TB.029,Cymatiidae,Lotoria lotoria,"(Linnaeus, 1758)",Ốc mỏ két vệt đen,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 6-8 cm. Mẫu lớn nhất có kích cỡ đạt tới 13 cm
Sinh học, sinh thái: Sống ở rạn san hô, vùng nước nông
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
30,Thân mềm,TB.030,Cypraeidae,Arestorides argus,"(Linnaeus, 1758)",Ốc sứ mắt trĩ,Quần đảo Hoàng Sa - Trường Sa,,,,,,,,,,Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa.
31,Thân mềm,TB.031,Cypraeidae,Leporicypraea mappa,"(Linnaeus, 1758)",Ốc sứ bản đồ,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 7-9 cm. Mẫu lớn nhất có kích cỡ đạt tới 10 cm
Sinh học, sinh thái: Sống ở rạn san hô, vùng dưới triều đến độ sâu 30 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Phú Quốc, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
32,Thân mềm,TB.032,Cypraeidae,Chelycypraea testudinaria,"(Linnaeus, 1758)",Ốc heo dài,Vùng biển Khánh Hòa,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 10-12 cm. Mẫu lớn nhất có kích cỡ đạt tới 14 cm
Sinh học, sinh thái: Sống trên đá, rạn san hô, độ sâu từ 10-30 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Phú Quý, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
33,Thân mềm,TB.033,Cypraeidae,Lyncina leviathan,"(Schilder & Schilder, 1937)",Ốc sứ sọc đỏ,Vùng biển Khánh Hòa,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 2-6 cm. Mẫu lớn nhất có kích cỡ đạt tới 9 cm
Sinh học, sinh thái: Sống trên đá, rạn san hô, độ sâu từ 1-35 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Côn Đảo, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
34,Thân mềm,TB.034,Cypraeidae,Talparia talpa,"(Linnaeus, 1758)",Ốc chuột chũi,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 6-8 cm. Mẫu lớn nhất có kích cỡ đạt tới 13 cm
Sinh học, sinh thái: Sống trên đá, rạn san hô, độ sâu từ 1-35 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, Phú Quốc, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
35,Thân mềm,TB.035,Fasciolariidae,Marmorofusus nicobaricus,"(Roeding, 1798)",Ốc thoi vệt nâu,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 8-10 cm. Mẫu lớn nhất có kích cỡ đạt tới 14 cm
Sinh học, sinh thái: Sống trên đá, độ sâu từ 50-100 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận,
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
