TT,Nhóm mẫu,Số hiệu,Họ,Loài,Tác giả,Tên việt,Nơi thu,Ngày thu,Long,Lat,CT,IUCN,SĐVN,KT,TP,LC/MN,Thông tin
316,Giáp xác,E.57249,Xanthidae,Liocarpilodes armiger,"(Nobili, 1906)",Cua rạn,Đá Nam,06.10.2020,11°24'57,114°19'30.8,,,,,,,"Màu sắc, đặc điểm: Loài này có mai rộng, hình vòm không xẻ thùy, cơ thể có các lông dài, thưa. Trán rộng, bị chia cắt sâu bởi vết lõm có hình tam giác. Càng của loài cua này không đều nhau, phía dưới có các nốt sần; chân bò kém phát triển, có lông dài
Sinh học, sinh thái: thường sống ở các nền đá hoặc nền đáy san hô
Phân bố: biển Đỏ, Tây Ấn Độ Dương, Ả Rập"
317,Giáp xác,E.57250,Trapeziidae,Trapezia guttata,"Rüppell, 1830",Cua yến san hô,Đá Nam,06.10.2020,11°24'57,114°19'30.8,,,,,,,"Màu sắc, đặc điểm:Loài cua này có mai dạng hình thang với chiều rộng lớn hơn chiều dài, mai nhẵn có màu trắng hoặc cam, có một đường màu đỏ hoặc nâu ở phần mai phía trước, chân kìm có màu đỏ hoặc nâu vàng đồng nhất; phần chân bò được bao phủ bởi các lông nhỏ riêng biệt và có các đốm nhỏ màu đỏ hoặc nâu. Chân kìm gần bằng nhau, mặt dưới của bàn tay nhẵn hoặc có các hạt sần cực nhỏ.
Sinh học, sinh thái: Sống ở các rạn san hô ven biển và được thấy cùng với Seriatopora hystrix , (San hô tổ chim).
Phân bố:Ấn Độ Dương, Thái Bình Dương, Nhật Bản, Úc, biển Đỏ"
318,Giáp xác,E.57251,Xanthidae,Luniella pugil,"(Dana, 1852)",Cua rạn,Đá Nam,06.10.2020,11°24'57,114°19'30.8,,,,,,,"Màu sắc, đặc điểm: Mai có dạng hình lục giác, bề mặt có các u nhẵn, hoặc được phủ nhiều lông ngắn có màu vàng và rải rác các sợi lông dài hơn. Mặt trước rộng; các thùy dưới hình vòng cung, ngăn cách bởi rãnh giữa nông hoặc sâu, mép nhẵn, dạng hạt hoặc dạng gai; thùy bên rõ rệt, hẹp. Rìa trước bên có bốn răng gai, ít hoặc không có răng phụ. Trên chân kìm phía mặt trước có các u hoặc gai, có thể có hoặc không có các lông cứng, các chân bò có thể có các u hoặc không, phần rìa có các lông cứng, phía trên cùng có các chân bò có vuốt nhọn
Sinh học, sinh thái: đây là loài cua nhỏ thường thấy ở các bãi triều và ở các nền đáy san hô chết, thức ăn của chúng thường là tảo, mảnh vụng hữu cơ
Phân bố: Úc, Thái Bình Dương, biển Đỏ, Pháp"
319,Giáp xác,E.57253,Trapeziidae,Trapezia tigrina,"Eydoux & Souleyet, 1842",Cua bảo vệ đốm đỏ,Nam Yết,11.10.2020,10°11'08.8,114°22'05.32,,,,,,,"Màu sắc, đặc điểm:Loài cua này có mai dạng hình thang với chiều rộng lớn hơn chiều dài, mai có màu nâu nhạt hoặc nâu vàng mặt lưng của mai, chân kìm và chân bò có các chấm hoặc các đốm màu đỏ hoặc cam, các đốm không bị mất khi ngâm trong dung dịch bảo quản. Chân kìm đồng đều, không có các gờ dọc, mặt dưới nhẵn hoặc có các nốt sần cực nhỏ. Chân bò nhẵn có các lông ngắn trên bề mặt.
Sinh học, sinh thái: loài này thường sống chung với loài san hô thuộc họ Acroporidae
Phân bố: Các khu vực Ấn Độ Dương-Tây Thái Bình Dương bao gồm Vịnh Ả Rập, kéo dài về phía đông tới Nhật Bản, Hawaii, Tahiti và Tây Úc"
320,Giáp xác,E.57255,Palinuridae,Panulirus versicolor,"(Latreille, 1804)",Tôm hùm sen,Tốc Tan,13.10.2020,08°49'38.3,113°56'06.5,1,LC,,1,1,1,"Màu sắc,đặc điểm: Tôm hùm sen là một loài thuộc họ tôm hùm gai, loài tôm này không có càng.Mai có nền màu trắng, với các vùng lớn màu xanh đen. Cuống râu màu hồng; các đốt bụng màu xanh lục với các dải ngang màu trắng và đen; chân có sọc dọc màu trắng. Mai của chúng có hai sừng phía trước và được trang bị nhiều gai lưng. Các râu thứ hai dày, có gai trên ba đoạn cơ bản đầu tiên và có chiều dài gần bằng cơ thể của chúng. Một số vùng bụng nhẵn, không có rãnh ngang. Các đốt bụng 1-6 có một dải ngang rõ rệt, liên tục dọc theo mép sau, với các dải sẫm màu ở hai bên. Chân hàm thứ ba thiếu một nhánh chân ngoài. Râu ở gốc râu thứ 1 có 4 gai cứng, hình vuông. Tổng chiều dài cơ thể đạt 400 mm, nhưng kích thước tối đa trung bình là khoảng 300 mm. Con đực có xu hướng lớn hơn con cái (Holthuis 1991).
Môi trường sống: Môi trường sống của Tôm hùm sen bao gồm các vùng đá và rạn san hô, thường ở rìa hướng ra biển của rạn san hô từ các điểm có thủy triều thấp đến độ sâu 15 m. Tôm hùm sen sống về đêm, thường ẩn náu trong các kẽ hở vào ban ngày và thường không sống thành bầy (Holthuis 1991). Thức ăn của chúng bao gồm động vật không xương sống ở đáy và mảnh vụn. Những kẻ săn mồi chính là những loài cá lớn hơn và cá mập (Frisch 2007)
Phân bố: Ấn Độ Dương-Thái Bình Dương, trải dài từ Biển Đỏ đến Nam Phi, miền nam Nhật Bản, miền bắc Australia."
321,Giáp xác,E.57256,Xanthidae,Actaeodes hirsutissimus,"(Rüppell, 1830)",Cua rạn,Tốc Tan,17.10.2020,08°49'38.3,113°56'06.5,,,,,,,"Màu sắc, đặc điểm: Loài cua rạn này có phần mai (vỏ đầu ngực) rộng (chiều rộng mai gấp 1,5 đến 1,6 lần chiều dài) được bao phủ bởi các u nhỏ, trên các u có các lông ngắn và cứng, phần mai lồi ở phía trước nhưng bị lõm về phía sau, phần mai được chia thành các vùng có kích thước bằng nhau bởi các rãnh sâu và nhẵn, Phần càng không đối xứng, chân bò phẳng trên bề mặt có các u và lông ngắn, phần bàn chân có các móng vuốt ngắn.
Sinh học, sinh thái: Loài này thường sống ở vùng nước nông trên các rạn san hô
Phân bố: Trung Quốc, Nhật Bản, Đảo Samoa, Úc, Philipine, Biển Đỏ, Hàn Quốc"
322,Giáp xác,E.57258,Carpiliidae,Carpilius convexus,"(Forskål, 1775)",Cua đá cẩm thạch,Thuyền Chài,29.10.2020,08°15'52.2,113°21'45.5,1,,,,,,"Màu sắc, đặc điểm: Loài cua này có màu đỏ đến nâu với các đốm không đều và hai chấm trắng nhỏ ở giữa mai. Có kích thước từ 6 - 8 cm, con đực lớn hơn con cái phần mai phẳng và lồi, có dạng bầu dục. Chân kìm to và dày không đối xứng, chân bơi không có gai
Sinh học, sinh thái: thường sống ở các rạn san hô, độ sâu bắt gặp loài cua này là 2 - 60m, chúng thường ẩn náu và ban ngày và hoạt động vào ban đêm, chúng thường ăn các động vật không xương soongs với kích thước nhỏ.
Phân bố: loài này có mặt ở Biển Đỏ, Ấn Độ Dương ở Tanzania và cả ở Tây Thái Bình Dương, từ Quần đảo Fiji, Indonesia, Philippines và Seychelles. Nó hiện diện trên bờ biển Thái Bình Dương của lục địa Mỹ."
