TT,Nhóm mẫu,Số hiệu,Họ,Loài,Tác giả,Tên việt,Nơi thu,Ngày thu,Long,Lat,CT,IUCN,SĐVN,KT,TP,LC/MN,Thông tin
1,Cá,TB.00001,,Carcharhinus falciformis,"(Müller & Herile, 1839)",Cá Mập da trơn,,,,,,1,,,,,"Tên tiếng Việt: Cá Mập da trơn
Tên tiếng Anh: Silky Shark
ĐẶC ĐIỂM: Chiều dài trước miệng gấp 1,2-1,6 lần khoảng cách mũi. Khe mang dài, chiều dài của khe mang thứ 3 bằng nhỏ hơn 2/5 chiều dài của gốc vây lưng thứ nhất. Vây lưng thứ hai rất nhỏ và thấp, chiều dài bờ bên trong vây lưng thứ hai gấp 2 lần chiều cao của nó. Phần lưng màu đen tối, bụng màu xám.
PHÂN BỐ ĐỊA LÝ 
Cá mập da trơn được tìm thấy ở Thái Bình Dương, Đại Tây Dương và Ấn Độ Dương. Chúng thích sống ở các vùng nước cận nhiệt đới và là một trong những loài cá mập có số lượng nhiều nhất trên thế giới. Chúng là loài cá mập di cư, quần thể cả máp da trơn ở Thái Bình Dương và Ấn Độ Dương thường di cư về phía vĩ độ cao hơn trong những tháng mùa hè.
MÔI TRƯỜNG SỐNG: 
Cá mập da trơn thường sống vùng nước ấm, nhiệt độ khoảng 23°C Chúng thường được tìm thấy gần các thềm lục địa và rạn san hô nằm dưới sâu, nơi có nguồn thức ăn dồi dào. Thông thường, cá mập da trơn sống chủ yếu từ mặt xuống độ sâu 500m nhưng cũng đã bắt gặp ở nơi nước sâu tới 4.000m. Chúng bắt gặp nhiều ở ven bờ, ven đảo khi còn nhỏ
MỨC ĐỘ NGUY HIỂM:
Cá mập da trơn có thể gây nguy hiểm cho con người do kích thước lớn và bản tính hung dữ. Thợ lần nên cẩn trọng khi tiếp xúc với chúng.
TÌNH TRẠNG BẢO TỒN 
IUCN liệt kê loài này gần như bị đe dọa vì bị đánh bắt quả mức, thời gian mang thai dài, đẻ ít con và tốc độ tăng trưởng chậm.
Mẫu được trưng bày tầng 2 khu nhà Song lập bằng phương pháp ngâm bảo quản trong hóa chất Formol

Vị trí lưu trữ: Hồ ngâm Song lập"
2,Cá,TB.00002,,Carcharhinus limbatus,"(Valenciennes, 1839)",Cá Mập thâm (2 con lớn),,,,,,1,,,,,"Tên tiếng Việt: Cá Mập thâm
Tên tiếng Anh: Blacktip shark.
Đặc điểm chuẩn loại: Mõm khá dài và nhọn. Chiều dài trước miệng dài hơn khoảng cách hai mũi. Răng hàm trên hẹp, thẳng hoặc hơi nghiêng, viền có răng cưa rất sắc và thô cả 2 bên răng; răng hàm dưới ngắn, thẳng và có răng cưa, không có chạc răng. Vây lưng thứ nhất to và cong hình lưỡi liềm, đỉnh vây nhọn hoặc tròn, chiều dài của bờ bên trong vây lưng hai bằng 1,1-1,6 chiều cao của nó. Trên phần lưng có màu xám hoặc xám nâu, bụng màu trắng.
Phân bố thế giới: Vùng biển nhiệt đới và cận nhiệt đới của Ấn Độ - Tây Thái Bình Dương và Đại Tây Dương. Chúng bắt gặp nhiều ở ven bờ, ven đảo, cửa sông, vịnh, nhưng không xâm nhập sâu vào nước ngọt. Chúng có thể được tìm thấy ở vùng nước sâu gần rạn san hô nhưng chủ yếu ở trong vòng 30m nước.
MỨC ĐỘ NGUY HIỂM:
Chúng thường nhút nhát, nhưng vì chúng kiếm ăn ở vùng nước nông hơn (dưới 100 ft) nên con người thường xuyên gặp phải. Điều này đã dẫn đến một số vết cắn là trường hợp nhầm lẫn danh tính khi cá mập nhầm người bơi, hoặc cánh tay hoặc chân của người lướt sóng với con mồi (Compagno et al. 2005). Hồ sơ từ Hồ sơ tấn công cá mập quốc tế (ISAF) cho thấy cá mập vây đen trong lịch sử đã gây ra 29 cuộc tấn công vô cớ nhằm vào con người trên khắp thế giới
TÌNH TRẠNG BẢO TỒN:
IUCN liệt kê loài cá Mập thâm là loài sẽ nguy cấp vì được đánh bắt thương mại trên toàn thế giới và phải được coi là loài có nguy cơ tuyệt chủng.
Mẫu được trưng bày tầng 2 khu nhà Song lập bằng phương pháp ngâm bảo quản trong hóa chất Formol

Vị trí lưu trữ: Mập khô Song lập"
3,Cá,TB.00003,,Carcharhinus sorrah,"(Müller & Henle, 1839)",Cá Mập vây đuôi chấm,,,,,,1,,,,,"Tên tiếng Việt: Cá Mập vây đuôi có chấm
Tên tiếng Anh: Spottail shark.
Đặc điểm: Cá mập có kích thước nhỏ, thon dài với mõm dài tròn đến tròn nhọn, mắt khá to. Răng chắc khỏe. Cơ thể có màu xám đến xám đen ở mặt lưng và có màu nhạt hoặc trắng ở mặt bụng thường có dải màu trắng dễ thấy ở sườn. Thùy bụng đuôi có 
mảng đen lớn nổi bật ở phần dưới và chóp, thùy lưng có viền đen, Vây ngực nhỏ, hình lưỡi liềm với các đỉnh thuôn tròn hoặc nhọn, có các đầu màu đen nổi bật. Vây bụng và vây hậu môn không có viền đen. Vây lưng thứ nhất lớn và có hình liềm, có đỉnh nhọn hoặc tròn hẹp có viền đen ở phần đầu, vây lưng thứ hai nhỏ và thấp.
PHÂN BỐ ĐỊA LÝ 
Cá Mập vây đuôi có chấm được tìm thấy ở vùng nhiệt đới Ẩn Độ - Thái Bình Dương trên các thêm lục địa và ngoài khơi thường ở độ sâu khoảng 73 m, có thể đến 140 m. Phạm vi phân bố kéo dài từ bờ biển Đông Phi, Madagascar và Biển Đỏ đến Ấn Độ, Malaysia, Trung Quốc, Việt Nam, Philippines và bắc Australia.
MÔI TRƯỜNG SỐNG 
Cả Mập vây đuôi có chấm ở gần đáy biển vào ban ngày và ban đêm lên trên bề mặt, thường xuyên nhất là xung quanh các rạn. 
MỨC ĐỘ NGUY HIỂM 
Loài này chưa xác nhận tấn công người. 
TÌNH TRẠNG BẢO TỒN 
IUCN đã liệt kê loài cá mập này gần như bị đe dọa vì chúng bị đánh bắt quả mức và nhiều quần thể đang bị đe dọa vì chúng bị đánh bắt quá mức và nhiều quần thể đang bị suy giảm.
Mẫu được trưng bày tầng 2 khu nhà Song lập bằng phương pháp ngâm bảo quản trong hóa chất Formol

Vị trí lưu trữ: Mập khô Song lập"
4,Cá,TB.00004,,Sphyrna lewini,"(Griffith & Smith, 1834)",Cá Mập búa vây đen,,,,,,1,,,,,"Tên tiếng Việt: Cá Mập búa vây đen
Tên tiếng Anh: Scalloped hammerhed.
Đặc điểm: Thân dài, dẹp bên. Đầu dạng búa (hình chữ “T”). Mép trước mõm rất rộng, hình sóng, phía trong 2 lỗ mũi khuyết sâu thành rãnh. Mép bên trước đầu tròn và nhô ra. Mép phía sau lõm vào và rất mỏng. Chiều dài mũi bằng 0,8 lần đường kính mắt. Miệng rất rộng, chiều dài trước miệng bằng 1/5-1/3 chiều rộng đầu. Vây đuôi rộng, lõm sâu. Trên thân có màu nâu sáng, đỉnh vây lưng có màu nâu đến đen
PHÂN BỐ ĐỊA LÝ
Cá nhám búa vây đen sống ở vùng biển khơi trên toàn thế giải, thưởng ở các vùng nước ẩm nhiệt đới như Đại Tây Dương, Ấn Độ Dương và Thái Bình Dương.
MÔI TRƯỜNG SỐNG
Cá Mập búa vây đen chủ yếu sinh sống ở vùng biển khơi nhưng cũng có thể được tìm thấy gần các thềm lục địa và hải đảo, các vịnh và cửa sông. Cá nhám búa vây đen có thể thay đổi các môi trường sống khác nhau trong ngày. Vào lúc binh minh, chúng đi chuyển từ bãi săn mồi ngoài khơi đến các thềm đảo, núi ngầm, vịnh và cửa sông. Ban ngày, chúng di cư đến các rạn san hô nơi những con cái tập trung thành đàn để giao tiếp với nhau. Đến hoàng hôn, chúng quay lại vùng khơi tìm kiếm thức ăn.
MỨC ĐỘ NGUY HIỂM
Cá Mập búa vây đen lớn được coi là loài có thể gây nguy hiểm cho con người. Tuy nhiên, đến nay vẫn chưa ghi nhận loài này tấn công người.
TÌNH TRẠNG BẢO TỒN
IUCN liệt kê loài này có nguy cơ tuyệt chủng vì chúng bị đánh bắt quá mức
Mẫu được trưng bày tầng 2 khu nhà Song lập bằng phương pháp ngâm bảo quản trong hóa chất Formol

Vị trí lưu trữ: Hồ ngâm Song lập"
5,Cá,TB.00005,,Squalus japonicus,"Ishikawa, 1908",Cá Nhám góc mõm dài,,,,,,1,,,,,"Tên tiếng Việt: Cá Nhám góc mõm dài
Tên tiếng Anh: Japanese spurdog
Đặc điểm: Cá nhám góc mõm dài có thân hình khá mảnh mai, mõm góc cạnh, mõm trước miệng rộng khoảng 1,5 đến 1,9 lần chiều rộng miệng, mắt gần khe mang thứ nhất hơn đầu mõm; lỗ mũi gần miệng hơn chóp mõm. Hai vây lưng không có rãnh, có gai lớn. Màu sắc: không có đốm trắng ở hai bên thân, vây lưng có viền trắng, đuôi không có vết sẫm màu.
PHÂN BỔ ĐỊA LÝ
Vùng biển Tây Bắc Thái Bình Dương, từ Triều Tiên, Trung Quốc, Nam Nhật Bản đến Việt Nam. Vùng sinh sống chủ yếu là thềm lục địa, ven các đảo. Độ sâu phân bố từ 52-400m, thường gặp từ 100-150m
MÔI TRƯỜNG SỐNG
Cá Nhám góc mõm dài là loài cá mập sống ở nước sâu, thường sống ở thềm lục địa và sườn trên, đôi khi ở trên hoặc gần đây bùn cát từ độ sâu 52m đến ít nhất 400m.
MỨC ĐỘ NGUY HIỂM
Cá Nhám góc mõm dài xuất hiện ở vùng nước sâu hơn 50m và ăn các loài cá xương và động vật không xương sống. Vì vậy, chưa có ghi nhận nào về các cuộc tấn công của chúng đối với con người. 
TÌNH TRẠNG BẢO TỒN
Ước tính số lượng cá nhằm góc mõm dài đã giảm 50–79% trong ba thế hệ qua (63 năm) do khai thác quá mức. IUCN liệt kê loài này có nguy cơ tuyệt chủng
Mẫu được trưng bày tầng 2 khu nhà Song lập bằng phương pháp ngâm bảo quản trong hóa chất Formol

Vị trí lưu trữ: Hồ ngâm Song lập"
6,Cá,TB.00006,,Isurus oxyrinchus,"Rafinesque, 1810",Cá nhám Thu,,,,,,1,,,,,"Tên tiếng Việt: Cá Nhám thu, Nhám chuột;
Tên tiếng Anh: Shortfin mako.
ĐẶC ĐIỂM: Cơ thể dạng thoi dài. Mắt khá to. Đầu tương đối ngắn, dài bằng 1/2 chiều dài thân. Mõm dài, hình nón nhọn. Khe mang rất rộng nằm kề phía trước gốc vây ngực. Răng không có chạc răng hai bên, viền không có răng cưa. Vây ngực dài, hình lưỡi liềm, chiều dài viền trước vây ngực ngắn hơn chiều dài đầu
PHÂN BỐ ĐỊA LÝ: Cá Nhám thu sống ở hầu hết các đại dương như Thái Bình Dương. Đại Tây Dương và Ấn Độ Dương. Loài cá mập này có thể di chuyển hàng nghìn km mỗi tháng để tìm kiếm con mồi hoặc ban tình
MÔI TRƯỜNG SỐNG: Cá Nhám thu là loài cá nổi, phân bố từ vùng nước bề mặt đến độ sâu 150m đến 740 mét. Loài này có thể sống ở nhiều vùng biển nhưng chúng thích sống ở vùng biển ngoài khơi nhiệt đới và ôn đới nhiệt độ từ 17-20°C. Chúng cũng có thể sống trong môi trường nước lạnh tới 5-11°C vì chúng có thể bảo tồn nhiệt trong cơ thể thay vì thoát nhiệt qua mang.
MỨC ĐỘ NGUY HIỂM
Chỉ có ba báo cáo về các cuộc tấn công của cá nhằm thu đối với con người kể từ năm 1974, do đó chúng không được xem là loài nguy hiểm đối với con người.
TÌNH TRẠNG BẢO TỒN
IUCN liệt kê cá Nhám thu là loài dễ bị tổn thương. Số lượng ngày càng giảm có thể do đánh bát quá mức.
Mẫu được trưng bày tầng 2 khu nhà Song lập bằng phương pháp ngâm bảo quản trong hóa chất Formol

Vị trí lưu trữ: Hồ ngâm Song lập"
7,Cá,TB.00007,,Carcharhinus melanopterus,"(Quoy & Gaimard, 1824)",Cá Mập vây đen (2 con lớn),,,,,,1,,,,,"Tên tiếng Việt: Cá Mập vây đen
Tên tiếng Anh: Blacktip reef shark
ĐẶC ĐIỂM: Cá Mập vây đen có màu nâu nâu ở mặt lưng với các mảng màu trắng ở mặt dưới. Một dải sáng kéo dài dọc theo sườn từ vây hậu môn đến ngay phía trên vây ngực như ở nhiều loài thuộc chi Carcharhinus. Tất cả các vây đều có đầu màu đen được tạo điểm nhấn trên màu trắng của cơ thể. hân hình có kích thước trung bình với mõm ngắn và tròn thẳng. Đôi mắt có hình bầu dục nằm ngang và chỏm răng hẹp.
PHÂN BỐ ĐỊA LÝ: Cá Mập vây đen thường được tìm thấy trên khắp vùng nhiệt đới Ấn Độ-Thái Bình Dương. Phạm vi phân bố của chúng bao gồm các vùng biển xung quanh Thái Lan, Trung Quốc, Nhật Bản, Philippines, Indonesia, Malaysia, Papua New Guinea, New Caledonia và miền bắc Australia (Compagno 1984),..
MÔI TRƯỜNG SỐNG: Cá mập vây đen Thích nước nông, trong, thường được tìm thấy trên các rạn san hô, rạn san hô và bãi cát, trên các rạn san hô, trong các đảo san hô hoặc dọc theo thềm lục địa và hải đảo, cả vùng triều và rừng ngập mặn (Last và Stevens 2009, Ebert et al. 2013), các cuộc di chuyển trong phạm vi đường dài không phổ biến. Chúng dành khoảng 70% thời gian của chúng trong một khu vực có diện tích 0,3 km² trong suốt một năm và việc di cư thường diễn ra xung quanh một hòn đảo nơi chúng sống hoặc giữa các đảo lân cận (Mourier và Planes 2013).
MỨC ĐỘ NGUY HIỂM
Cá Mập vây đen đôi khi được biết là cắn người đang bơi hoặc lội nước nhưng không gây ra mối đe dọa nghiêm trọng cho con người. Hồ sơ tấn công cá mập quốc tế (ISAF) đã ghi nhận chỉ có 11 vụ cá mập rạn san hô đầu đen vô cớ cắn người kể từ năm 1959.
TÌNH TRẠNG BẢO TỒN
IUCN liệt kê cá Mập vây đen được coi là ""Gần bị đe dọa"" theo tiêu chí loài bị đe dọa của Liên minh Bảo tồn Thiên nhiên Quốc tế (IUCN) do bị đánh bắt bởi nghề cá ven bờ ở một số vùng chúng được sử dụng để lấy vây, thịt và dầu gan nhưng có giá trị thương mại hạn chế do kích thước nhỏ.
Mẫu được trưng bày tầng 2 khu nhà Song lập bằng phương pháp chế tác mẫu khô

Vị trí lưu trữ: Mẫu khô Song lập"
8,Cá,TB.00008,,Triaenodon obesus,"(Rüppell, 1837)",Cá Mập rạn san hô (con nhỏ nhất),,,,,,1,,,,,"Tên tiếng Việt: Cá mập rạn san hô
Tên tiếng Anh: Whitetip reef shark
ĐẶC ĐIỂM: Cá mập rạn san hô có chiều dài tối đa là 2,13m nhưng chiều dài trung bình 1.6m là loài ca có thân hình mảnh mai vừa phải, đầu rất rộng và dẹt. mõm tròn rộng và rất ngắn. Nó có màu xám nâu ở trên lưng nhạt dần xuống màu trắng ở dưới bụng, có những đốm màu xám đen rải rác ở hai bên cơ thể. Đầu của vây lưng thứ nhất và thùy vây đuôi trên có màu trắng sáng. Đầu của vây lưng thứ hai và thùy vây đuôi dưới đôi khi có màu trắng. Răng giống nhau ở hàm trên và hàm dưới. Răng trước sau ở cả hai hàm mọc thẳng hoặc nửa xiên, chỏm hẹp, răng nanh ở đầu gần và xa cao, khỏe nhưng không có răng cưa
PHÂN BỐ ĐỊA LÝ: Cá mập rạn san hô có phân bố từ Ấn Độ Dương-Thái Bình Dương: Biển Đỏ và Đông Phi đến Indonesia và Biển, phía bắc đến đảo Ryukyu và Ogasawara, phía nam New South Wales (Úc),…
MÔI TRƯỜNG SỐNG: Cá mập rạn san hô được tìm thấy ở vùng biển nhiệt đới thường gắn liền với các rạn san hô, chúng hoạt động mạnh nhất vào ban đêm hoặc khi thủy triều xuống và dành phần lớn thời gian trong ngày để nghỉ ngơi trong các hang động đơn lẻ hoặc theo nhóm nhỏ, xếp song song hoặc xếp chồng lên nhau, phạm vi độ sâu 0 - 330 m và thường là 8-40m,
MỨC ĐỘ NGUY HIỂM
Cá mập rạn san hô Whitetip là loài có tính tò mò thường tiếp cận thợ lặn, tuy nhiên hiếm khi tấn công con người nên nó không được coi là nguy hiểm cho con người.
TÌNH TRẠNG BẢO TỒN
(IUCN) đã đánh giá loài này là loài dễ bị tổn thương vì số lượng của loài này đã giảm trong những thập kỷ gần đây do áp lực đánh bắt ngày càng tăng và do đó không được kiểm soát ở vùng nhiệt đới. Môi trường sống hạn chế, độ phân tán thấp và sinh sản chậm là những yếu tố hạn chế khả năng phục hồi của loài cá mập này sau khi bị đánh bắt quá mức
Mẫu được trưng bày tầng 2 khu nhà Song lập bằng phương pháp chế tác mẫu khô

Vị trí lưu trữ: Mập khô Song lập"
