TT,Nhóm mẫu,Số hiệu,Họ,Loài,Tác giả,Tên việt,Nơi thu,Ngày thu,Long,Lat,CT,IUCN,SĐVN,KT,TP,LC/MN,Thông tin
35,Cá,E.57139,Scaridae,Scarus rubroviolaceus,"Bleeker, 1847",Cá Mó môi đỏ,Đá Nam,02.04.2021,11°23'10.0,114°17'43.6,1,,,1,,1,"Cá Mó môi đỏ
Ember parrotfish

Đặc điểm:
D. IX, 10; A. III, 9;
Chiều dài cơ thể tối đa là 70 cm, mõm dốc, thẳng đứng ở cả hai giới, vây đuôi của cá đực lõm sâu hơn ở cá cái, tạo thành hình lưỡi liềm. Cá cái màu nâu đỏ hoặc nâu xám, ửng đỏ hơn ở vùng dưới đầu và bụng và các vây, đầu và thân trước thường sẫm màu hơn thân sau, nhiều cá thể cái có nửa thân sau là màu trắng. Cá đực có màu xanh lục lam, mõm màu tím xám, vảy có viền màu cam pha hồng, rìa môi trên có vệt sọc màu hồng cam trên đó là một dải màu xanh lục. Dưới cằm cũng có hai vệt màu lục với một vệt màu hồng cam nằm giữa, vây lưng và vây hậu môn cùng hai thùy đuôi có dải viền xanh lam. Cá con có các dải sọc ngang màu trắng và nâu xanh lục xen kẽ, lốm đốm các chấm trắng
Sinh thái: Chúng thường sống ở các rạn san hô viền bờ, ở khu vực có nền đáy đá vụn, đá cuội hoặc san hô, độ sâu đến 36 m.
Phân bố:
Thế giới: Có phạm vi phân bố rộng khắp khu vực Ấn Độ Dương - Thái Bình Dương, và mở rộng đến Đông Thái Bình Dương
Việt Nam: Ghi nhận tại vùng biển Khánh Hòa, Ninh Thuận, Kiên Giang,.."
36,Cá,E.57140,Serranidae,Cephalopholis leopardus,"(Lacepède, 1801)",Cá Mú chấm bé,Đá Nam,02.04.2021,11°23'10.0,114°17'43.6,,,,1,1,,"Cá Mú chấm bé
Leopard hind

Đặc điểm: 
D. IX, 13-15; A. III,  9-10.
Cá mú nhỏ, thân hình tương đối mảnh khảnh, chiều dài cơ thể tối đa là 24cm, thân có màu đỏ nhạt với các đốm lớn màu cam, yên đen ở cuống đuôi, có vệt dưới mép sẫm màu gần đầu vây đuôi trên. 
Sinh học, sinh thái: Cá Mú chấm bé thường thấy ở các rạn san hô với độ sâu từ 3-40m, sống đơn độc có tính lãnh thổ, thường ẩn trú trong rạn san hô. Thức ăn chủ yếu là các loài cá nhỏ và giáp xác nhỏ.
Phân bố: 
Thế giới: Cá Mú chấm bé có phân bố rộng rãi ở khu vực Ấn Độ Dương - Thái Bình Dương, từ Đông Phi trải dài về phía đông đến quần đảo Mariana, quần đảo Line và quần đảo Marquises, ngược lên phía bắc đến Nhật Bản, xa về phía nam đến Úc, Nouvelle-Calédonie và Tonga
Việt Nam: Cù lao Chàm và dọc theo bờ biển Quảng Nam, Khánh Hòa,.."
37,Cá,E.57141,Balistidae,Balistapus undulatus,(Park 1797),Cá Bò đen,Đá Lớn,04.04.2021,10°06'22.8,113°51'21.1,1,,,1,1,1,"Cá Bò đen
Orange-lined triggerfish

Đặc điểm: Đầu và thân có màu từ xanh đến nâu với các đường cong màu cam chéo và một đốm đen tròn lớn bao phủ phần lớn gốc vây đuôi; các tia vây lưng, vây hậu môn và vây ngực mềm màu cam và cả vây đuôi. Thân dẹp bên. Các vây bụng hợp nhất thành một gai. Gai lưng thứ nhất có cơ cấu khóa. Với 12 tia chính ở vây đuôi. 18 đốt sống. Hàm trên không nhô ra ngoài. Hàm trên thường có bốn răng ở bên ngoài và ba ở dãy bên trong trên mỗi răng tiền hàm.
Sinh thái: Thường thấy ở các rạn san hô ở độ sâu 0-60m. Chúng ăn nhiều loại sinh vật đáy như tảo, động vật da gai, cá, động vật thân mềm, động vật có vỏ, bọt biển và động vật thủy sinh. Trứng được đẻ thành từng cụm dưới các hố các.
Phân bố: 
Thế giới: thường xuyên xuất hiện ở Quần đảo Seychelles, Réunion và Maldives, ở Ấn Độ, Sri Lanka, Thái Lan, Úc, Indonesia, New Guinea, Micronesia, Philippines, Đài Loan và Trung Quốc cho đến miền nam Nhật Bản.
Việt Nam: Khánh Hòa, Ninh Thuận, Quãng Ngãi,..."
40,Cá,E.57144,Balistidae,Melichthys vidua,"(Richardson, 1845)",Cá Bò vảy góc,Đá Lớn,04.04.2021,10°06'22.8,113°51'21.1,1,,,1,,1,"Cá Bò vảy góc
Pinktail triggerfish

Đặc điểm: 
D. III, 31-35; A., 27-31
Chiều dài cơ thể lớn nhất được ghi nhận là 40 cm, cơ thể có màu nâu sẫm, gần như đen hoàn toàn. Phần mõm có màu vàng cam, vây lưng sau và vây hậu môn trắng đục với viền đen, vây ngực màu vàng, vây đuôi trắng ở gốc, ra xa ửng hồng. Cá con có các sọc đen xung quanh mắt, vây lưng sau và vây hậu môn có các sọc ngang màu đen.
Sinh thái: Thường sống trên vùng rạn san hô hướng ra khơi, có hợp phần động vật không xương sống phong phú, độ sâu đến 60m. Thức ăn chủ yếu là tảo và vụn hữu cơ, nhưng chúng cũng có thể ăn cả giáp xác, nhuyễn thể, hải miên và cá nhỏ
Phân bố: 
Thế giới: Ấn Độ-Thái Bình Dương: Đông Phi đến Natal (Nam Phi), phía đông đến quần đảo Hawai, Marquesas và Tuamoto phía bắc đến nam Nhật Bản, phía nam đến Great Barrier Reef  (Úc) và New Caledonia.
Việt Nam: vịnh Bắc Bộ, Trung Bộ đến vùng biển Tây Nam."
41,Cá,E.57145,Pomacentridae,Pomacentrus bankanensis,"Bleeker, 1854",Cá Thia đốm,Đá Lớn,04.04.2021,10°06'22.8,113°51'21.1,,,,1,,1,"Cá Thia đốm
Speckled damselfish

Đặc điểm:
D. XIII, 15-16; A. II, 15-16;
Chiều dài lớn nhất được ghi nhận là 9 cm. Cơ thể có màu nâu, trắng ở cuống và vây đuôi. Có đốm nhỏ màu xanh lam ở rìa nắp mang và một đốm đen lớn viền xanh óng ở ngay sau vây lưng. Cá con có màu cam ở lưng và đỉnh đầu, cũng có đốm trên vây lưng và nhiều vệt sọc xanh óng trên mặt và lưng
Sinh thái: Loài cá này sinh sống tập trung trên nền đáy đá vụn, gần những rạn san hô viền bờ hoặc trong các đầm phá ở độ sâu đến 32 m, thức ăn của chúng bao gồm tảo và các loài động vật phù du. Cá đực có tập tính bảo vệ và chăm sóc trứng
Phân bố:
Thế giới: Ghi nhận tại các vùng biển thuộc nước Úc, các nước Đông Nam Á, Nhật Bản,..
Việt Nam: Khánh Hòa–Ninh Thuận, Bình Thuận, cù lao Chàm (Quảng Nam), đảo Lý Sơn (Quảng Ngãi), Côn Đảo và quần đảo Trường Sa."
42,Cá,E.57146,Scaridae,Scarus globiceps,"Valenciennes, 1840",Cá Mó đầu tròn,Đá Lớn,04.04.2021,10°06'22.8,113°51'21.1,,,,1,,1,"Cá Mó đầu tròn
Globehead parrotfish

Đặc điểm:
D. IX, 10; A. III, 9;
Chiều dài lớn nhất là 45cm, cá đực có màu xanh lục lam với các vạch màu hồng cam trên vảy. Đầu và một phần thân trước lốm đốm các chấm, vạch màu xanh lục, trước mõm có dải màu hồng tím kéo dài ra sau đến trên rìa nắp mang, băng ngang qua mắt. Vây đuôi có dải màu cam trên mỗi thùy, vây lưng và vây hậu môn màu xanh, có các dải sọc hồng cam, cá cái và cá con có màu nâu xám. vây đuôi cụt ở cá cái, lõm vào trong tạo thành hình lưỡi liềm ở cá đực trưởng thành. Cá đực còn có thêm răng nanh phía sau các phiến răng ở hai hàm
Sinh thái: sống gần các rạn san hô viền bờ và rạn san hô trong các đầm phá ở độ sâu đến 30 m, sống thành từng cặp hoặc theo nhóm lớn, ăn tảo. 
Phân bố:
Thế giới: ghi nhận dọc theo bờ biển Đông Phi, bờ biển Tây Úc, vùng biển Nhật Bản,..
Việt Nam: Ghi nhận tại quần đảo Trường Sa"
43,Cá,E.57147,Serranidae,Cephalopholis argus,"Schneider, 1801",Cá Mú chấm nâu,Đá Lớn,04.04.2021,10°06'22.8,113°51'21.1,,,,1,1,1,"Cá Mú chấm nâu
Peacock hind

Đặc điểm: Cá mú màu nâu được bao phủ bởi những đốm nhỏ màu xanh viền đen, có hoặc không có 5-6 sọc nhạt ở phía sau thân, vây màu xanh lam và một mảng màu trắng kem xung quanh gốc vây ngực.
Sinh học, sinh thái: Cá mú chấm nâu ưa sống trên các rạn san hô với độ sâu 0-40m tuy nhiên thường thấy ở độ số 0-10m, thường sống biệt lập có tính lãnh thổ, chúng thường ăn một số loại cá và giáp xác nhỏ thường hoạt động vào sáng sớm hoặc ban đêm, là loài lưỡng tính, con cái có thể thành con đực khi trưởng thành.
Phân bố:
Thế giới: Khu vực Ấn Độ Dương - Thái Bình Dương, biển Đỏ,...
Việt Nam: Cá Mú chấm nâu được ghi nhận tại: Cù lao Chàm và dọc theo bờ biển Quảng Nam, vịnh Nha Trang (Khánh Hòa), Ninh Thuận, Phú Yên và Bình Thuận, quần đảo An Thới (Kiên Giang), quần đảo Hoàng Sa và quần đảo Trường Sa."
44,Cá,E.57148,Acanthuridae,Acanthurus japonicus,"(Schmidt, 1931)",Cá Bắp nẻ nhật bản,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,,,,1,,1,"Cá Bắp nẻ nhật bản
Japan surgeonfish

Đặc điểm: Cơ thể hình bầu dục thuôn dài, có màu nâu xám. Có một mảnh xương nhọn màu vàng chĩa ra ở mỗi bên cuống đuôi, tạo thành ngạnh sắc. Một dải màu trắng kéo dài từ rìa dưới của mắt đến môi trên. Một dải màu vàng ở rìa thân trên và dưới, dọc theo gốc vây lưng và vây hậu môn. Vây lưng, vây bụng và vây hậu môn có màu đen, có dải màu trắng xanh viền ở rìa; riêng vây lưng có dải màu cam ở cận biên. Cuống đuôi màu vàng, lan rộng sang gốc vây đuôi cụt; gốc vây đuôi được bao quanh bởi một sọc trắng; vây đuôi màu trắng xám. Gốc vây ngực màu vàng, với một khoảng màu vàng nâu ở rìa nắp mang. Chiều dài cơ thể tối đa được ghi nhận ở Acanthurus japonicus là 21 cm. Số gai ở vây lưng: 9; Số tia vây ở vây lưng: 28 - 31; Số gai ở vây hậu môn: 3; Số tia vây ở vây hậu môn: 26 - 29.
Sinh học, sinh thái: Cá trưởng thành thường bơi theo từng nhóm nhỏ, nhưng có thể hợp thành đàn lớn ở nhiều nơi trong phạm vi phân bố; cá con có thể bắt gặp trong đàn của những loài cá khác. Thức ăn của Cá Bắp nẻ nhật bản là tảo, chủ yếu là tảo đỏ
Phân bố:
Thế giới: Ấn Độ Dương– Tây Thái Bình Dương, Indonesia, Philippines quần đảo Ryukyu Nhật Bản
Việt Nam: Khánh Hòa, Đà Nẵng, Phú Yên, Ninh Thuận,..."
46,Cá,E.57150,Acanthuridae,Ctenochaetus striatus,"(Quoy & Gaimard, 1825)",Cá Răng Gai nhiều sọc,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,,,,1,,1,"Cá Răng Gai nhiều sọc
Striated surgeonfish

Đặc điểm: 
D. VIII, 27-31; A. III, 24-28
Cá Răng gai nhiều sọc có chiều dài tối đa là 26cm, ở cuống đuôi mỗi bên có 1 mảnh xương nhọn chỉa ra tạo thành phần ngạnh sắc. Cơ thể hình bầu dục thuôn dài, có màu nâu lục pha xám đến màu vàng nâu với những đường sọc ngang màu xanh lam, đầu, ngực và thân trước chi chít những chấm tròn màu cam, vây ngực có các tia vây màu vàng nâu. Đuôi lõm sâu, hình cánh nhạn, màu nâu đỏ sẫm. Vây lưng và vây hậu môn có viền màu xanh lam ánh kim, sẫm màu hơn thân với các dải sọc màu xanh lam đậm dọc theo chiều dài của vây
Sinh thái: Sống ở vùng gần bờ đến độ sâu 30 m, rạn san hô và vùng có đáy cát, san hô chết. Tập trung thành từng đàn hay riêng lẻ.
Phân bố: 
Thế giới: trải rộng vùng biển Ấn Độ-Thái Bình Dương, không bao gồm quần đảo Hawaii, quần đảo Marquesas và Easter.   
Việt Nam: vùng rạn san hô ven bờ và các đảo từ Quảng Ninh đến Kiên Giang, quần đảo Trường Sa."
49,Cá,E.57153,Labridae,Cymolutes torquatus,"(Valenciennes, 1840)",Cá Bàng Chài,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,1,,,,,,"Cá Bàng Chài
Finescale razorfish

Đặc điểm:
D. IX, 12; A. II, 11-12
Chiều dài cơ thể tối đa của loài cá Bàng chài này là 20cm, cơ thể có màu xanh lục nhạt và trắng ở bụng.  Thân có khoảng 14 đến 19 vạch sọc màu nâu sẫm, bắt đầu từ sau vây ngực trải dài đến cuống đuôi; những sọc này chuyển thành màu cam ở cá đực. Má và nắp mang có 3 đường sọc màu xanh lam và một đường sọc xiên màu đen nằm trên gốc vây ngực.
Sinh thái: Loài cá Bàng chài này thường sống đơn độc, sống xung quanh các rạn san hô ở các nền đáy cát với độ sâu 6-25m, các cá thể non thường được tìm thấy quanh thảm cỏ biển. Thức ăn chủ yếu là các động vật đáy không xương sống.
Phân bố:
Thế giới: Tập trung nhiều ở khu vực Thái Bình Dương và thưa hơn ở Ấn Độ Dương, và ghi nhận nhiều ở vùng biển ở khu vực Đông Nam Á.
Việt Nam: Khánh Hòa"
50,Cá,E.57154,Labridae,Hemigymnus melapterus,"(Bloch, 1791)",Cá Bàng Chài trớt,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,,,,1,,1,"Cá Bàng Chài trớt
Blackeye thicklip

Đặc điểm: 
D. IX, 10-11; A. III, 11
Cá Bàng chài trớt có chiều dài tối đa là 90cm, tuy nhiên loài thường gặp chỉ có 37cm. Môi dày, có nhiều vệt hồng quanh mắt. Con đực có màu xanh lục với vảy trên thân có rìa màu đen môi và phần dưới của đầu chủ yếu có màu xanh lam nhạt, ngực và bụng màu trắng hồng. Cá cái nhỏ và cá con đang phát triển có hai màu rõ rệt trên thân: đầu và thân trước có màu xanh lục xám thân sau màu đen, cuống đuôi và vây đuôi màu vàng, thường có 1–2 đốm đen nhỏ ở giữa vây (cá con mới lớn có thêm một dải màu trắng rõ rệt chia tách hai vùng màu trên thân), vảy của cá cái có thêm các vạch màu lục sẫm, chuyển sang màu vàng với các đốm màu xanh lam ở cuống đuôi và vây đuôi. Cá cái trưởng thành có màu sắc gần giống với cá đực: thân sau dần chuyển sang màu lục sẫm, vảy có viền đen, đầu có màu xanh lục sáng
Sinh thái: thường gặp trong các đầm phá san hô và các rạn san hô hướng ra khơi. Con non thường ở trong các san hô cành, con trưởng ở vùng có dạng hỗn hợp san hô, san hô chết, cát, cá kích thước lớn sống ở vùng nước sâu hơn.
Phân bố: 
Thế giới: vùng biển Ấn Độ- Thái Bình Dương: từ Biển Đỏ và Đông Phi đến Micronesia, Samoa và Polynesia. 
Việt Nam: vùng rạn san hô ven bờ và các đảo từ Quảng Ninh đến Kiên Giang."
51,Cá,E.57155,Lethrinidae,Lethrinus xanthochilus,"Klunzinger, 1870",Cá Hè môi vàng,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,,,,1,1,,"Cá Hè môi vàng
Yellowlip emperor

Đặc điểm:
D. X, 9; A. III, 8
Chiều dài cơ thể lớn nhất được ghi nhận là 70 cm. Thân có màu xám phớt vàng, lốm đốm các vệt đen. Môi màu vàng nhạt, môi trên sẫm hơn, có một đốm đỏ ở gốc trên của vây ngực, các vây màu xanh lam xám, rìa vây lưng và vây đuôi hơi ửng đỏ.
Sinh thái: Sống đơn độc nhưng đôi khi bơi theo nhóm nhỏ trên thảm cỏ biển, vùng cát và đá vụn của các rạn san hô, kênh sâu và đầm phá, thường được tìm thấy ở vùng nước nông tới độ sâu 150 m. Thức ăn chủ yếu là giáp xác, cá và da gai.
Phân bố:
Thế giới: ó phân bố rộng rãi trên vùng Ấn Độ Dương - Thái Bình Dương
Việt Nam: Quần đảo Hoàng Sa và Trường Sa"
52,Cá,E.57156,Nemipteridae,Scolopsis bilineata,"(Bloch, 1793)",Cá Tráo trác hai sọc,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,1,,,1,,1,"Cá Tráo trác hai sọc
Two-lined monocle bream

Đặc điểm:
D. X, 9; A. III, 7;
Chiều dài cơ thể tối đa là 25 cmThân có sọc trắng viền đen uốn cong lên từ dưới mắt đến giữa gốc vây lưng. Con non - nửa trên của cơ thể màu đen với hai sọc vàng, giữa thân có sọc rộng màu trắng không rõ ràng, vây hậu môn có một vết đen
Sinh thái: Thường sống ở các rạn san hô theo từng cặp với độ sâu ghi nhận là 1-25m, thức ăn chủ yếu của loài này là cá nhỏ và động vật không xương sống ở đáy
Phân bố:
Thế giới: Ghi nhận ở các vùng biển nhiệt đới Tây Thái Bình Dương
Việt Nam: Vùng biển khu vực Nha Trang, Trường Sa,.."
53,Cá,E.57157,Pomacentridae,Amphiprion frenatus,"Brevoort, 1856",Cá Khoang cổ đỏ,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,1,,,1,,1,"Cá Khoang cổ đỏ 
Tomato clownfish

Đặc điểm: Loài cá này có một dải sọc trắng ngay sau mắt. Cá cái gần như có màu đen ở hai bên thân, trừ vùng mõm, ngực, bụng và các vây là màu đỏ. Cá đực lại không có màu đen, thay vào đó là đỏ hoàn toàn và có kích thước nhỏ hơn cá cái. Amphiprion frenatus có chiều dài cơ thể tối đa được ghi nhận là 14 cm, số gai ở vây lưng: 9–10; Số tia vây ở vây lưng: 16–18; Số gai ở vây hậu môn: 2; Số tia vây ở vây hậu môn: 13–15
Sinh học, sinh thái: Trong tự nhiên, cá thường sống ở các rạn san hô, đầm phá ở độ sâu 0-12m,  cá khoang cổ đỏ cộng sinh với hải quỳ và không bị ảnh hưởng bởi các xúc tu của hải quỳ. Cá khoang cổ đỏ thụ tinh ngoài. Là loài lưỡng tính tuần tự ,khi còn nhỏ chúng phát triển thành con đực trước tiên. Trưởng thành, chúng trở thành con cái.
Phân bố:
Thế giới: Nhật Bản, Biển Đông, Malaysia, ...
Việt Nam: Khánh Hòa (Trường Sa)"
54,Cá,E.57158,Scaridae,Scarus psittacus,"Forsskål, 1775",Cá Mó thường,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,1,,,1,,1,"Cá Mó thường
Common parrotfish

Đặc điểm:
D. IX, 10; A. III, 9;
Có chiều dài cơ thể tối đa là 34 cm, vây đuôi của cá đực lõm sâu hơn ở cá cái, tạo thành hình lưỡi liềm, có răng nanh ở phía sau phiến răng của hàm trên. Cá cái màu nâu đỏ hoặc nâu xám, phớt màu cam ở ngực và bụng, vùng mõm nhạt hơn đầu, có đốm đen ở gốc vây ngực và một đốm nâu sẫm ở màng vây lưng thứ nhất. Cá đực có màu xanh lục với các vạch màu hồng cam trên vảy, mõm có màu tím, bao quanh miệng là một dải màu xanh lam kéo dài thành một vệt sọc, vây lưng và vây hậu môn cùng hai thùy đuôi có viền xanh lam; thường có màu vàng ở cuống đuôi
Sinh thái: Chúng thường sống ở các bãi đá ngầm, rạn san hô viền bờ và rạn san hô trong các đầm phá ở độ sâu đến 30 m, thức ăn chủ yếu là tảo
Phân bố:
Thế giới: Tây Úc, quần đảo Hawaii, Nhật Bản,..
Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận,.."
55,Cá,E.57159,Scaridae,Scarus schlegeli,"(Bleeker, 1861)",Cá Mó vằn vàng,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,1,,,1,,1,"Cá Mó vằn vàng
Yellowband parrotfish

Đặc điểm:
D. IX, 10; A. III, 9;
Chiều dài cơ thể tối đa là 40 cm. Vây đuôi bo tròn ở cá cái, cụt ở cá đực nhưng hai thùy đuôi phát triển dài hơn. Cá đực có màu xanh lục sẫm, vùng lưng trước sáng màu hơn, trên lưng ở có một hoặc hai vệt đốm màu vàng, kéo dài về phía bụng thành một hoặc hai vệt sọc màu xanh sáng ở giữa thân, vảy có các vạch màu hồng, vây lưng và vây hậu môn cùng hai thùy đuôi có dải viền xanh lam. Cá cái màu nâu đỏ hoặc nâu sẫm, thường có các dải màu nhạt ở hai bên thân.
Sinh thái: Môi trường sống thường là các rạn san hô viền bờ và rạn san hô trong các đầm phá, độ sâu được tìm thấy đến 50 m, nhưng thường phổ biến ở độ sâu khoảng 25 m, thức ăn chủ yếu là tảo.
Phân bố:
Thế giới: Phạm vi phân bố vùng biển nhiệt đới khu vực Ấn Độ Dương-Thái Bình Dương
Việt Nam: Ghi nhận tại vùng biển Nha Trang, Trường Sa,.."
56,Cá,E.57160,Balistidae,Rhinecanthus rectangulus,"(Bloch & Schneider, 1801)",Cá Bò da láng,Đá Lớn,07.04.2021,10°01'26.8,113°50'42.2,,,,1,,1,"Cá Bò da láng
Wedge-tail triggerfish

Đặc điểm:
D. III, 22-25; A20-22;
Chiều dài lớn nhất ghi nhận là 30cm. Bụng, ngực và cằm có màu trắng, màu nâu xám ở phần thân còn lại, dải đen từ mắt lan rộng xuống vây hậu môn, băng qua gốc vây ngực, giữa hai mắt có các sọc xanh lam, thân sau có cặp sọc màu vàng tạo thành hình tam giác. Cuống đuôi có vệt đen hình tam giác, viền vàng, môi trên có một vệt sọc xanh. Cuống đuôi có 4 (hiếm khi 5) hàng gai nhỏ
Sinh thái: Loài cá này thường sống ở độ sâu khoảng 10–20 m trên nền đáy đá trộn lẫn san hô, là loài ăn tạp, thức ăn của chúng bao gồm tảo, vụn hữu cơ, các loài nhuyễn thể, giáp xác, cầu gai, san hô, sống đuôi, hải miên, trùng lỗ cũng như những loài cá nhỏ hơn
Phân bố:
Thế giới:  bố rộng khắp khu vực Ấn Độ Dương - Thái Bình Dương
Việt Nam: Ghi nhận tại quần đảo Hoàng Sa và Trường Sa."
57,Cá,E.57161,Labridae,Thalassoma lunare,"(Linnaeus, 1758)",Cá Bàng Chài đầu đen,Đá Lớn,07.04.2021,10°01'26.8,113°50'42.2,1,,1,1,,1,"Cá Bàng Chài đầu đen
Moon wrasse

Đặc điểm:
D. 8, 13; A. III, 11;
Chiều dài cơ thể tối đa là 45 cm, Cá trưởng thành có cơ thể màu xanh lục, nhưng cá đực sẫm màu xanh lam hơn, đặc biệt là trong quá trình tán tỉnh. Mỗi bên thân có các vạch sọc đứng màu đỏ trên vảy. Đầu có các vệt màu hồng tím. Thùy đuôi có màu hồng tím viền xanh óng, phần còn lại của đuôi màu vàng tươi. Vây ngực màu lam với một vệt đốm màu tím ở giữa. Cá con có màu ô liu (nâu lục) với một đốm đen ở giữa vây lưng và một đốm tương tự giữa cuống đuôi
Sinh thái: sống gần các rạn san hô viền bờ và trong các đầm phá ở độ sâu đến 30 m, sống đơn độc hoặc hợp thành từng nhóm. Thức ăn chủ yếu là các loài thủy sinh không xương sống và trứng cá, nhưng chúng cũng có thể ăn các loài cá nhỏ hơn
Phân bố:
Thế giới: Nhật Bản, Trung Quốc, Philippin, Inđônêxia, Micrônêxia, Ôxtrâylia, Papua Niu Ghine, Đông châu Phi, Biển Đỏ.
Việt Nam: Vịnh Bắc Bộ, Cù Lao Chàm, Nha Trang, Cù Lao Cau, Côn Đảo, Phú Quốc (Kiên Giang) và quần đảo Trường Sa"
58,Cá,E.57162,Lutjanidae,Lutjanus kasmira,"(Forsskål, 1775)",Cá Hồng bốn sọc,Đá Lớn,07.04.2021,10°01'26.8,113°50'42.2,,,,1,,1,"Cá Hồng bốn sọc
Common bluestripe snapper

Đặc điểm:
D. X, 13-15; A. III, 8
Chiều dài cơ thể lớn nhất được ghi nhận ở cá hồng bốn sọc là 40 cm, thường thấy với chiều dài trung bình khoảng 25 cm, loài này có màu vàng tươi, chuyển dần sang màu trắng ở bụng và dưới đầu. Hai bên thân có 4 sọc xanh lam óng với nhiều sọc xám nhạt ở phần thân dưới cùng , các vây có màu vàng.
Sinh thái:Cá hồng bốn sọc sống tập trung gần các rạn san hô, được quan sát ở độ sâu khoảng 3–265 m (thường thấy trong khoảng 30–150 m); cá con sống trong các thảm cỏ biển. Thức ăn của chúng bao gồm cá nhỏ hơn, động vật chân đầu, động vật giáp xác và động vật phù du, cũng ăn cả tảo. Chúng có thể hợp thành đàn lớn, lên đến vài trăm cá thể
Phân bố:
Thế giới: Có phân bố rộng khắp vùng Ấn Độ Dương - Thái Bình Dương
Việt Nam: Vùng biển Nha Trang, Trường Sa, Côn Đảo, Phú Quốc,.."
61,Cá,E.57165,Chaetodontidae,Chaetodon citrinellus,"Cuvier, 1831",Cá Bướm vảy xanh,Đá Lớn,09.04.2021,09°59'37.5,113°50'54.8,,,,1,,1,"Cá Bướm vảy xanh
Speckled butterflyfish

Đặc điểm:
D. XIII - XIV, 20-22; A. III, 16 - 17
Một loài cá bướm nhỏ, với chiều dài lớn nhất được ghi nhận có chiều dài 13cm, cơ thể có màu vàng nhạt được bao phủ bởi những đốm đen nhỏ có một vạch đen từ gai vây lưng đầu tiên xuyên qua mắt và một viền đen trên vây hậu môn
Sinh thái: Sống ở các rạn san hô, nhưng thường được tìm thấy ở vùng nước nông từ 1 – 10 m và ăn tảo sợi, polyp san hô mềm, giun, hải quỳ, động vật giáp xác, bọt biển,.., và các động vật không xương sống khác
Phân bố:
Thế giới: Ấn Độ Dương-Thái Bình Dương: Đông Phi đến các đảo Hawaii, Marquesan và Tuamoto, phía bắc đến phía nam Nhật Bản và Quần đảo Ogasawara, phía nam đến New South Wales (Úc) và Đảo Lord Howe
Việt Nam: Khánh Hòa, Phú Yên, Ninh Thuận, Bình Thuận"
62,Cá,E.57166,Labridae,Epibulus insidiator,"(Pallas, 1770)",Cá Bàng Chài hàm dài,Đá Lớn,09.04.2021,09°59'37.5,113°50'54.8,1,,,1,,1,"Cá Bàng Chài hàm dài
Sling-jaw wrasse

Đặc điểm:
D. IX-X, 9-11; A. III, 8-9
Chiều dài tối đa của loài cá bàng chài này là 54cm. Cá Slingjaw sở hữu phần hàm khá là đặc biệt, phần hàm của chúng có thể kéo dài tới 27 cm khi cần bắt lấy con mồi. Đây chính là vũ khí bí mật đầy lợi hại của loài cá này. Con đực có màu nâu xám với lưng màu cam, viền vảy sẫm màu, sọc dọc màu vàng ở bên hông và đầu màu xám nhạt với một sọc đen hẹp xuyên qua mắt. Con cái có màu vàng sáng hoặc nâu sẫm. Con non có màu nâu với các sọc trắng hẹp ở hai bên và các sọc trắng tỏa ra từ mắt.
Sinh thái: Chúng thường sống ở khu vực có nhiều san hô, đầm phá, hoặc các bãi đá. Chúng ăn các loài giáp xác nhỏ sống trong san hô và cá nhỏ. Đây là loài lưỡng tính (cá thể cái chuyển thành đực)
Phân bố:
Thế giới: Ấn Độ Dương-Thái Bình Dương: Biển Đỏ đến Nam Phi các đảo Hawaii và Tuamoto, Nhật Bản,..
Việt Nam: Khánh Hòa, Đà Nẵng,.."
